,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
116,40,1.33,0.126,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,40,1.33,0.126,40,1.33,0.126,72,1.3,0.347,40,1.33,0.126,40,1.33,0.126,16,2.58
117,40,1.33,0.126,40,1.33,0.126,72,1.3,0.347,40,1.33,0.126,40,1.33,0.126,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,16,2.58
118,40,1.33,0.126,40,1.33,0.126,72,1.3,0.347,40,1.33,0.126,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,16,2.58
119,40,1.33,0.126,40,1.33,0.126,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,16,2.58
120,40,1.33,0.126,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,72,1.3,0.347,16,2.58
121,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,73,1.5,0.168,16,2.58
122,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,23,1.63,0.277,73,1.5,0.168,73,1.5,0.168,16,2.58
123,23,1.63,0.277,73,1.5,0.168,23,1.63,0.277,73,1.5,0.168,23,1.63,0.277,23,1.63,0.277,73,1.5,0.168,23,1.63,0.277,23,1.63,0.277,16,2.58
124,23,1.63,0.277,23,1.63,0.277,73,1.5,0.168,73,1.5,0.168,23,1.63,0.277,73,1.5,0.168,73,1.5,0.168,23,1.63,0.277,23,1.63,0.277,16,2.58
125,23,1.63,0.277,23,1.63,0.277,73,1.5,0.168,23,1.63,0.277,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,23,1.63,0.277,16,2.58
126,23,1.63,0.277,73,1.5,0.168,23,1.63,0.277,73,1.5,0.168,73,1.5,0.168,23,1.63,0.277,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,16,2.58
127,23,1.63,0.277,73,1.5,0.168,23,1.63,0.277,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,16,2.58
128,23,1.63,0.277,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,73,1.5,0.168,16,2.58
129,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,22,1.54,0.04,16,2.58
130,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,22,1.54,0.04,24,1.66,1.367,22,1.54,0.04,24,1.66,1.367,24,1.66,1.367,16,2.58
131,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,22,1.54,0.04,24,1.66,1.367,22,1.54,0.04,24,1.66,1.367,22,1.54,0.04,16,2.58
132,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,24,1.66,1.367,24,1.66,1.367,22,1.54,0.04,16,2.58
133,24,1.66,1.367,24,1.66,1.367,24,1.66,1.367,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,24,1.66,1.367,22,1.54,0.04,16,2.58
134,22,1.54,0.04,22,1.54,0.04,24,1.66,1.367,24,1.66,1.367,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,24,1.66,1.367,22,1.54,0.04,16,2.58
135,24,1.66,1.367,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,24,1.66,1.367,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,22,1.54,0.04,16,2.58
